rank,rating,date,user,content,helpful_count,images,option_info,product_name
129,5,25.07.15.,uran****,개구리만 쓰다가 쌤플로 만나본 자연퐁 이젠 정착했어요 크기도 알맞고 물때없이 너무 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250715_66/1752560164186PlKL7_JPEG/tmp_5468125013225782016.jpg?type=f300_300,옵션: 레몬 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
130,5,25.07.15.,rose****,"매번 주문해서 사용하고 있어요.
 평소에는 한알 기름기가 많르묜 두알 사용해요
그럼 아주 깨끗해요",0,https://phinf.pstatic.net/checkout.phinf/20250715_243/1752582176111EyxKT_JPEG/image.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
131,5,25.07.10.,circ*****,잘받았어요 아직 써보지는 않았지만 빨리 배송해주셔서 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250710_241/1752135057140zHut2_JPEG/image.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
132,5,25.07.11.,jjs6******,배송빠르고ᆢ 저렴하고ᆢ 식세기청소용품도줘서 너무 좋네요ᆢ,0,https://phinf.pstatic.net/checkout.phinf/20250711_42/1752168060246mRy9A_JPEG/1000010352.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
133,5,25.07.05.,rh****,식기세척기 사용중인데 이 제품만 사용해요 세척력도 좋고 향도 쎄지 않아서 좋아요 1팩에 50개씩 들어 있어서 오래 사용해요,0,https://phinf.pstatic.net/checkout.phinf/20250705_105/1751716573977KTarR_JPEG/KakaoTalk_20250702_203320285.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
134,5,25.07.08.,kiti****,빠른 배송 좋아요. 식세기 세제는 이걸로 정착했어요. 항상 만족하는 제품입니다.,0,https://phinf.pstatic.net/checkout.phinf/20250708_153/1751923568201O5iOL_JPEG/1000009462.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
135,5,25.07.15.,blue***,"크기도 적당하고 세정도 좋습니다.
식세기 린스 등도 쓰고 있어서 수입품쓰다가 바꿔봤어요",0,https://phinf.pstatic.net/checkout.phinf/20250715_168/1752551662737Bvm93_JPEG/1752551648782.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
136,5,25.07.21.,esca******,요즘 식세기에 잘 사용하고 있어요,0,https://phinf.pstatic.net/checkout.phinf/20250721_145/1753060766438vUWvo_JPEG/1000012826.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
137,5,25.07.20.,sbj3***,"가격 적당하고, 세척도 잘됩니다~~~~~",0,https://phinf.pstatic.net/checkout.phinf/20250720_52/1752996732957Pkp6P_JPEG/20250716_144120.jpg?type=f300_300,옵션: 레몬 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
138,5,25.07.12.,dlfj*****,"한 알씩 넣기만 하면 되니까 너무 간편하고 편해요.
세척력도 좋아서 기름기 많은 식기도 깔끔하게 닦이고, 냄새도 안 남아서 만족합니다.
세제 찌꺼기도 거의 안 남고 헹굼도 깔끔해요.
추가로 식기세척기 클리너까지 들어 있어서 구성도 알차네요!

⭐️⭐️⭐️⭐️⭐️
[옵션: 오리지널 55입 2개 + 식기세기클리너 1개]",0,,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
139,5,25.07.14.,li****,세척력이좋아요.많이파세요,0,https://phinf.pstatic.net/checkout.phinf/20250714_21/1752419295509q45z1_JPEG/1000035416.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
140,5,25.07.08.,zo****,식기세척기 사고 세제 알아보다가 이 제품을 선택했습니다. 세척 너무 잘돼서 대만족입니다.,0,https://phinf.pstatic.net/checkout.phinf/20250708_218/1751907188809W7H8k_JPEG/1000041129.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
141,4,25.06.29.,pang***,"식기세척기 세제를 구매해야하는데 구매평이 좋아 저도 구매해봤습니다
전에 사용한 세제는 반으로 자르며 사용해서 불편했었는데 이 제품은 크기가 작아 하나씩 사용할  수 있어서 편리합니다(사이즈 비교샷 올려드립니다)
세정력도 괜찮은것 같구요",0,https://phinf.pstatic.net/checkout.phinf/20250629_277/1751163149505gPoqb_JPEG/1751163126869.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
142,5,25.07.20.,ddan****,매번 사용하고 있는 식기세척기 세제입니다. 다른 상품을 사용해 본적이 없어 비교는 불가하지만 바꿀 생각은 없습니다,0,https://phinf.pstatic.net/checkout.phinf/20250720_25/17529699893188NJGM_JPEG/image.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
143,5,25.06.21.,3naq***,"배송 빠르고 문제없이 잘 도착했습니다
항상 믿고 사용하는 제품으로(세척, 세제향도 맘에 듬)
클리너까지 사은품으로 받아서 만족스럽습니다",0,https://phinf.pstatic.net/checkout.phinf/20250621_287/1750435602545HoW8h_JPEG/20250618_211859.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
144,5,25.07.12.,alwn***,식세기 사고 첫 세제로 골랐습니다. 가성비 갑!! 앞으로도 잘 쓸 것 같아요 ❤️  식세기 클리너까지 주셔서 좋네요,0,https://phinf.pstatic.net/checkout.phinf/20250712_195/1752311654450NvjND_JPEG/1000052245.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
145,5,25.07.15.,wind*****,독일것쓰다가 이거한번사봤는데 성능좋아서 다시 구매해씁니다. 잘쓸께요 ㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250715_220/1752569504601nAOoM_JPEG/1000020386.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
146,5,25.07.20.,toto****,"배송 엄청빠른네요 저넥주문 담날 오전~!
서비스도 감사합니다",0,https://phinf.pstatic.net/checkout.phinf/20250720_40/17530187844690hoop_JPEG/1000013181.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
147,4,25.07.16.,baba*****,"저렴해서 좋아요.
세정력 좋길 기대해 봅니다
클리너도 같이 제공되었네요",0,https://phinf.pstatic.net/checkout.phinf/20250716_78/17526163310242PnDs_JPEG/1752616316181.jpg?type=f300_300,옵션: 레몬 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
148,5,25.07.20.,nano******,좋아요 레몬향이 물비린내 제거에 좀 더 효과적인거 같아요,0,https://phinf.pstatic.net/checkout.phinf/20250720_276/1752976159540V6Fpb_JPEG/image.jpg?type=f300_300,옵션: 레몬 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
149,5,25.07.15.,uran****,개구리만 쓰다가 쌤플로 만나본 자연퐁 이젠 정착했어요 크기도 알맞고 물때없이 너무 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250715_66/1752560164186PlKL7_JPEG/tmp_5468125013225782016.jpg?type=f300_300,옵션: 레몬 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
150,5,25.07.15.,rose****,"매번 주문해서 사용하고 있어요.
 평소에는 한알 기름기가 많르묜 두알 사용해요
그럼 아주 깨끗해요",0,https://phinf.pstatic.net/checkout.phinf/20250715_243/1752582176111EyxKT_JPEG/image.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
151,5,25.07.10.,circ*****,잘받았어요 아직 써보지는 않았지만 빨리 배송해주셔서 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250710_241/1752135057140zHut2_JPEG/image.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
152,5,25.07.11.,jjs6******,배송빠르고ᆢ 저렴하고ᆢ 식세기청소용품도줘서 너무 좋네요ᆢ,0,https://phinf.pstatic.net/checkout.phinf/20250711_42/1752168060246mRy9A_JPEG/1000010352.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
153,5,25.07.05.,rh****,식기세척기 사용중인데 이 제품만 사용해요 세척력도 좋고 향도 쎄지 않아서 좋아요 1팩에 50개씩 들어 있어서 오래 사용해요,0,https://phinf.pstatic.net/checkout.phinf/20250705_105/1751716573977KTarR_JPEG/KakaoTalk_20250702_203320285.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
154,5,25.07.08.,kiti****,빠른 배송 좋아요. 식세기 세제는 이걸로 정착했어요. 항상 만족하는 제품입니다.,0,https://phinf.pstatic.net/checkout.phinf/20250708_153/1751923568201O5iOL_JPEG/1000009462.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
155,5,25.07.15.,blue***,"크기도 적당하고 세정도 좋습니다.
식세기 린스 등도 쓰고 있어서 수입품쓰다가 바꿔봤어요",0,https://phinf.pstatic.net/checkout.phinf/20250715_168/1752551662737Bvm93_JPEG/1752551648782.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
156,5,25.07.21.,esca******,요즘 식세기에 잘 사용하고 있어요,0,https://phinf.pstatic.net/checkout.phinf/20250721_145/1753060766438vUWvo_JPEG/1000012826.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
157,5,25.07.20.,sbj3***,"가격 적당하고, 세척도 잘됩니다~~~~~",0,https://phinf.pstatic.net/checkout.phinf/20250720_52/1752996732957Pkp6P_JPEG/20250716_144120.jpg?type=f300_300,옵션: 레몬 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
158,5,25.07.12.,dlfj*****,"한 알씩 넣기만 하면 되니까 너무 간편하고 편해요.
세척력도 좋아서 기름기 많은 식기도 깔끔하게 닦이고, 냄새도 안 남아서 만족합니다.
세제 찌꺼기도 거의 안 남고 헹굼도 깔끔해요.
추가로 식기세척기 클리너까지 들어 있어서 구성도 알차네요!

⭐️⭐️⭐️⭐️⭐️
[옵션: 오리지널 55입 2개 + 식기세기클리너 1개]",0,,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
159,5,25.07.14.,li****,세척력이좋아요.많이파세요,0,https://phinf.pstatic.net/checkout.phinf/20250714_21/1752419295509q45z1_JPEG/1000035416.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
160,5,25.07.08.,zo****,식기세척기 사고 세제 알아보다가 이 제품을 선택했습니다. 세척 너무 잘돼서 대만족입니다.,0,https://phinf.pstatic.net/checkout.phinf/20250708_218/1751907188809W7H8k_JPEG/1000041129.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
161,4,25.06.29.,pang***,"식기세척기 세제를 구매해야하는데 구매평이 좋아 저도 구매해봤습니다
전에 사용한 세제는 반으로 자르며 사용해서 불편했었는데 이 제품은 크기가 작아 하나씩 사용할  수 있어서 편리합니다(사이즈 비교샷 올려드립니다)
세정력도 괜찮은것 같구요",0,https://phinf.pstatic.net/checkout.phinf/20250629_277/1751163149505gPoqb_JPEG/1751163126869.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
162,5,25.07.20.,ddan****,매번 사용하고 있는 식기세척기 세제입니다. 다른 상품을 사용해 본적이 없어 비교는 불가하지만 바꿀 생각은 없습니다,0,https://phinf.pstatic.net/checkout.phinf/20250720_25/17529699893188NJGM_JPEG/image.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
163,5,25.06.21.,3naq***,"배송 빠르고 문제없이 잘 도착했습니다
항상 믿고 사용하는 제품으로(세척, 세제향도 맘에 듬)
클리너까지 사은품으로 받아서 만족스럽습니다",0,https://phinf.pstatic.net/checkout.phinf/20250621_287/1750435602545HoW8h_JPEG/20250618_211859.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
164,5,25.07.12.,alwn***,식세기 사고 첫 세제로 골랐습니다. 가성비 갑!! 앞으로도 잘 쓸 것 같아요 ❤️  식세기 클리너까지 주셔서 좋네요,0,https://phinf.pstatic.net/checkout.phinf/20250712_195/1752311654450NvjND_JPEG/1000052245.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
165,5,25.07.15.,wind*****,독일것쓰다가 이거한번사봤는데 성능좋아서 다시 구매해씁니다. 잘쓸께요 ㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250715_220/1752569504601nAOoM_JPEG/1000020386.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
166,5,25.07.20.,toto****,"배송 엄청빠른네요 저넥주문 담날 오전~!
서비스도 감사합니다",0,https://phinf.pstatic.net/checkout.phinf/20250720_40/17530187844690hoop_JPEG/1000013181.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
167,4,25.07.16.,baba*****,"저렴해서 좋아요.
세정력 좋길 기대해 봅니다
클리너도 같이 제공되었네요",0,https://phinf.pstatic.net/checkout.phinf/20250716_78/17526163310242PnDs_JPEG/1752616316181.jpg?type=f300_300,옵션: 레몬 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
168,5,25.07.20.,nano******,좋아요 레몬향이 물비린내 제거에 좀 더 효과적인거 같아요,0,https://phinf.pstatic.net/checkout.phinf/20250720_276/1752976159540V6Fpb_JPEG/image.jpg?type=f300_300,옵션: 레몬 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
169,5,25.07.15.,uran****,개구리만 쓰다가 쌤플로 만나본 자연퐁 이젠 정착했어요 크기도 알맞고 물때없이 너무 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250715_66/1752560164186PlKL7_JPEG/tmp_5468125013225782016.jpg?type=f300_300,옵션: 레몬 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
170,5,25.07.15.,rose****,"매번 주문해서 사용하고 있어요.
 평소에는 한알 기름기가 많르묜 두알 사용해요
그럼 아주 깨끗해요",0,https://phinf.pstatic.net/checkout.phinf/20250715_243/1752582176111EyxKT_JPEG/image.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
171,5,25.07.10.,circ*****,잘받았어요 아직 써보지는 않았지만 빨리 배송해주셔서 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250710_241/1752135057140zHut2_JPEG/image.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
172,5,25.07.11.,jjs6******,배송빠르고ᆢ 저렴하고ᆢ 식세기청소용품도줘서 너무 좋네요ᆢ,0,https://phinf.pstatic.net/checkout.phinf/20250711_42/1752168060246mRy9A_JPEG/1000010352.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
173,5,25.07.05.,rh****,식기세척기 사용중인데 이 제품만 사용해요 세척력도 좋고 향도 쎄지 않아서 좋아요 1팩에 50개씩 들어 있어서 오래 사용해요,0,https://phinf.pstatic.net/checkout.phinf/20250705_105/1751716573977KTarR_JPEG/KakaoTalk_20250702_203320285.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
174,5,25.07.08.,kiti****,빠른 배송 좋아요. 식세기 세제는 이걸로 정착했어요. 항상 만족하는 제품입니다.,0,https://phinf.pstatic.net/checkout.phinf/20250708_153/1751923568201O5iOL_JPEG/1000009462.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
175,5,25.07.15.,blue***,"크기도 적당하고 세정도 좋습니다.
식세기 린스 등도 쓰고 있어서 수입품쓰다가 바꿔봤어요",0,https://phinf.pstatic.net/checkout.phinf/20250715_168/1752551662737Bvm93_JPEG/1752551648782.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
176,5,25.07.21.,esca******,요즘 식세기에 잘 사용하고 있어요,0,https://phinf.pstatic.net/checkout.phinf/20250721_145/1753060766438vUWvo_JPEG/1000012826.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
177,5,25.07.20.,sbj3***,"가격 적당하고, 세척도 잘됩니다~~~~~",0,https://phinf.pstatic.net/checkout.phinf/20250720_52/1752996732957Pkp6P_JPEG/20250716_144120.jpg?type=f300_300,옵션: 레몬 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
178,5,25.07.12.,dlfj*****,"한 알씩 넣기만 하면 되니까 너무 간편하고 편해요.
세척력도 좋아서 기름기 많은 식기도 깔끔하게 닦이고, 냄새도 안 남아서 만족합니다.
세제 찌꺼기도 거의 안 남고 헹굼도 깔끔해요.
추가로 식기세척기 클리너까지 들어 있어서 구성도 알차네요!

⭐️⭐️⭐️⭐️⭐️
[옵션: 오리지널 55입 2개 + 식기세기클리너 1개]",0,,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
179,5,25.07.14.,li****,세척력이좋아요.많이파세요,0,https://phinf.pstatic.net/checkout.phinf/20250714_21/1752419295509q45z1_JPEG/1000035416.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
180,5,25.07.08.,zo****,식기세척기 사고 세제 알아보다가 이 제품을 선택했습니다. 세척 너무 잘돼서 대만족입니다.,0,https://phinf.pstatic.net/checkout.phinf/20250708_218/1751907188809W7H8k_JPEG/1000041129.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
181,4,25.06.29.,pang***,"식기세척기 세제를 구매해야하는데 구매평이 좋아 저도 구매해봤습니다
전에 사용한 세제는 반으로 자르며 사용해서 불편했었는데 이 제품은 크기가 작아 하나씩 사용할  수 있어서 편리합니다(사이즈 비교샷 올려드립니다)
세정력도 괜찮은것 같구요",0,https://phinf.pstatic.net/checkout.phinf/20250629_277/1751163149505gPoqb_JPEG/1751163126869.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
182,5,25.07.20.,ddan****,매번 사용하고 있는 식기세척기 세제입니다. 다른 상품을 사용해 본적이 없어 비교는 불가하지만 바꿀 생각은 없습니다,0,https://phinf.pstatic.net/checkout.phinf/20250720_25/17529699893188NJGM_JPEG/image.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
183,5,25.06.21.,3naq***,"배송 빠르고 문제없이 잘 도착했습니다
항상 믿고 사용하는 제품으로(세척, 세제향도 맘에 듬)
클리너까지 사은품으로 받아서 만족스럽습니다",0,https://phinf.pstatic.net/checkout.phinf/20250621_287/1750435602545HoW8h_JPEG/20250618_211859.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
184,5,25.07.12.,alwn***,식세기 사고 첫 세제로 골랐습니다. 가성비 갑!! 앞으로도 잘 쓸 것 같아요 ❤️  식세기 클리너까지 주셔서 좋네요,0,https://phinf.pstatic.net/checkout.phinf/20250712_195/1752311654450NvjND_JPEG/1000052245.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
185,5,25.07.15.,wind*****,독일것쓰다가 이거한번사봤는데 성능좋아서 다시 구매해씁니다. 잘쓸께요 ㅎ,0,https://phinf.pstatic.net/checkout.phinf/20250715_220/1752569504601nAOoM_JPEG/1000020386.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
186,5,25.07.20.,toto****,"배송 엄청빠른네요 저넥주문 담날 오전~!
서비스도 감사합니다",0,https://phinf.pstatic.net/checkout.phinf/20250720_40/17530187844690hoop_JPEG/1000013181.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
187,4,25.07.16.,baba*****,"저렴해서 좋아요.
세정력 좋길 기대해 봅니다
클리너도 같이 제공되었네요",0,https://phinf.pstatic.net/checkout.phinf/20250716_78/17526163310242PnDs_JPEG/1752616316181.jpg?type=f300_300,옵션: 레몬 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
188,5,25.07.20.,nano******,좋아요 레몬향이 물비린내 제거에 좀 더 효과적인거 같아요,0,https://phinf.pstatic.net/checkout.phinf/20250720_276/1752976159540V6Fpb_JPEG/image.jpg?type=f300_300,옵션: 레몬 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
189,5,25.07.15.,uran****,개구리만 쓰다가 쌤플로 만나본 자연퐁 이젠 정착했어요 크기도 알맞고 물때없이 너무 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250715_66/1752560164186PlKL7_JPEG/tmp_5468125013225782016.jpg?type=f300_300,옵션: 레몬 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
190,5,25.07.15.,rose****,"매번 주문해서 사용하고 있어요.
 평소에는 한알 기름기가 많르묜 두알 사용해요
그럼 아주 깨끗해요",0,https://phinf.pstatic.net/checkout.phinf/20250715_243/1752582176111EyxKT_JPEG/image.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
191,5,25.07.10.,circ*****,잘받았어요 아직 써보지는 않았지만 빨리 배송해주셔서 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250710_241/1752135057140zHut2_JPEG/image.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
192,5,25.07.11.,jjs6******,배송빠르고ᆢ 저렴하고ᆢ 식세기청소용품도줘서 너무 좋네요ᆢ,0,https://phinf.pstatic.net/checkout.phinf/20250711_42/1752168060246mRy9A_JPEG/1000010352.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
193,5,25.07.05.,rh****,식기세척기 사용중인데 이 제품만 사용해요 세척력도 좋고 향도 쎄지 않아서 좋아요 1팩에 50개씩 들어 있어서 오래 사용해요,0,https://phinf.pstatic.net/checkout.phinf/20250705_105/1751716573977KTarR_JPEG/KakaoTalk_20250702_203320285.jpg?type=f300_300,옵션: 오리지널 55입 2개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
194,5,25.07.08.,kiti****,빠른 배송 좋아요. 식세기 세제는 이걸로 정착했어요. 항상 만족하는 제품입니다.,0,https://phinf.pstatic.net/checkout.phinf/20250708_153/1751923568201O5iOL_JPEG/1000009462.jpg?type=f300_300,옵션: 오리지널 1개+레몬1개+식세기클리너1개,자연퐁 스팀워시 타블렛 식기세척기 세제 10g 55입 2개+식세기클리너 2입 1개
