rank,rating,date,user,content,helpful_count,images,option_info,product_name
1,5,25.07.15.,kmj7*****,향기를 돌려 가며 항상 사용중인데 향도 좋고 세탁후 잔향도 오래 남아서 요즘 같이 땀을  많이 흘리는 날씨에 적당한것 같아요. 너무 잘 사용하고 있습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250715_135/1752533209270h4Egn_JPEG/1000020207.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
2,4,25.07.19.,rudt******,샤프란 향기도 좋고 가격도  괜찮은거 같아 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250719_256/1752901321520llJUq_JPEG/1752901311750.jpg?type=f300_300,옵션선택: 릴렉싱 아로마 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
3,5,25.07.16.,saza*******,"향이좋아 항상쓰는제품입니다
마니파세요",0,https://phinf.pstatic.net/checkout.phinf/20250716_234/17526369168231gHsg_JPEG/EC83A4ED9484EB9E80.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
4,5,25.07.19.,dbwl*******,온라인이 더 저렴하니 좋으네요,0,https://phinf.pstatic.net/checkout.phinf/20250719_212/1752913535668zCn1Q_JPEG/1000030855.jpg?type=f300_300,옵션선택: 코튼 베이비파우더 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
5,5,25.07.19.,kiwi******,배송빠르게 잘받았습니다,0,https://phinf.pstatic.net/checkout.phinf/20250719_199/1752910367124VmJV8_JPEG/17529103379882550037276181680523.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
6,5,25.07.17.,woo6****,배송도 빠르고 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250717_112/17527171155473awbe_JPEG/20250716_191634.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
7,5,25.07.16.,dkst******,좋은 상품 빠른 배송,0,https://phinf.pstatic.net/checkout.phinf/20250716_225/17526363075522X96r_JPEG/IMG_9002.jpeg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
8,5,25.07.09.,tkdt******,항상쓰는제품  향이좋아항상씁니다,0,https://phinf.pstatic.net/checkout.phinf/20250709_127/1752032951244FhOHI_JPEG/1000008343.jpg?type=f300_300,옵션선택: 릴렉싱 아로마 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
9,5,25.07.13.,hugo*****,향긋하고 엄마가 좋아시네요,0,https://phinf.pstatic.net/checkout.phinf/20250713_50/17523985438463sfOC_JPEG/1000016693.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
10,5,25.07.08.,sunf*********,"보라,파란색등 다 써봤는데 분홍이 젤 좋아요.",0,https://phinf.pstatic.net/checkout.phinf/20250708_235/1751940845826ueW1L_JPEG/PayApp_20250708_111357_1539410965169687454.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
11,5,25.07.07.,isbl*****,품질 좋은 상품 빠르게 배송됨,0,https://phinf.pstatic.net/checkout.phinf/20250707_154/1751880300936slin7_JPEG/1000003647.jpg?type=f300_300,옵션선택: 코튼 베이비파우더 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
12,5,25.07.14.,suk5****,핑크센세이션  아닌 아로마가 배송 됬네요아로마향도 괜찮은지  써보고 또 구매할게요,0,,옵션선택: 릴렉싱 아로마 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
13,5,25.07.15.,tjsr******,역시 믿고 쓰는 샤프란 부모님이 너무 좋아하세요 과하지 않은 깔끔한 향,0,,옵션선택: 코튼 베이비파우더 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
14,3,25.07.02.,0627***,항상쓰는제품가격이갈수록오르네요,0,https://phinf.pstatic.net/checkout.phinf/20250702_203/1751457197849TKShY_JPEG/1751457188150.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
15,5,25.06.29.,shap****,주말인데 배송이 하루만에 왔습니다,0,https://phinf.pstatic.net/checkout.phinf/20250629_284/1751170439189MaTSE_JPEG/1751170427265.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
16,5,25.06.20.,slrm*******,믿고 사용하는 제품입니다. 가성비가 좋아서 계속 구매하게 되네요~,0,https://phinf.pstatic.net/checkout.phinf/20250620_150/1750415925846qX8Sf_JPEG/EC83A4ED9484EB9E80.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
17,5,25.07.12.,dewy***,향기 좋아요~만족합니다,0,,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
18,5,25.06.23.,moya******,항상 사용하던 섬유유연제인데 좀 저렴하게 샀어요!,0,https://phinf.pstatic.net/checkout.phinf/20250623_150/1750674974675SC6YS_JPEG/IMG_6549.jpeg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
19,5,25.06.25.,kkss****,배송빠르고 향이좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250625_33/1750821340826RPdmj_JPEG/1750821327452.jpg?type=f300_300,옵션선택: 코튼 베이비파우더 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
20,5,25.07.16.,youn********,배송도 빠르고 가격도 저렴해서 좋았습니다,0,,옵션선택: 릴렉싱 아로마 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
21,5,25.07.15.,kmj7*****,향기를 돌려 가며 항상 사용중인데 향도 좋고 세탁후 잔향도 오래 남아서 요즘 같이 땀을  많이 흘리는 날씨에 적당한것 같아요. 너무 잘 사용하고 있습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250715_135/1752533209270h4Egn_JPEG/1000020207.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
22,4,25.07.19.,rudt******,샤프란 향기도 좋고 가격도  괜찮은거 같아 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250719_256/1752901321520llJUq_JPEG/1752901311750.jpg?type=f300_300,옵션선택: 릴렉싱 아로마 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
23,5,25.07.16.,saza*******,"향이좋아 항상쓰는제품입니다
마니파세요",0,https://phinf.pstatic.net/checkout.phinf/20250716_234/17526369168231gHsg_JPEG/EC83A4ED9484EB9E80.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
24,5,25.07.19.,dbwl*******,온라인이 더 저렴하니 좋으네요,0,https://phinf.pstatic.net/checkout.phinf/20250719_212/1752913535668zCn1Q_JPEG/1000030855.jpg?type=f300_300,옵션선택: 코튼 베이비파우더 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
25,5,25.07.19.,kiwi******,배송빠르게 잘받았습니다,0,https://phinf.pstatic.net/checkout.phinf/20250719_199/1752910367124VmJV8_JPEG/17529103379882550037276181680523.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
26,5,25.07.17.,woo6****,배송도 빠르고 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250717_112/17527171155473awbe_JPEG/20250716_191634.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
27,5,25.07.16.,dkst******,좋은 상품 빠른 배송,0,https://phinf.pstatic.net/checkout.phinf/20250716_225/17526363075522X96r_JPEG/IMG_9002.jpeg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
28,5,25.07.09.,tkdt******,항상쓰는제품  향이좋아항상씁니다,0,https://phinf.pstatic.net/checkout.phinf/20250709_127/1752032951244FhOHI_JPEG/1000008343.jpg?type=f300_300,옵션선택: 릴렉싱 아로마 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
29,5,25.07.13.,hugo*****,향긋하고 엄마가 좋아시네요,0,https://phinf.pstatic.net/checkout.phinf/20250713_50/17523985438463sfOC_JPEG/1000016693.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
30,5,25.07.08.,sunf*********,"보라,파란색등 다 써봤는데 분홍이 젤 좋아요.",0,https://phinf.pstatic.net/checkout.phinf/20250708_235/1751940845826ueW1L_JPEG/PayApp_20250708_111357_1539410965169687454.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
31,5,25.07.07.,isbl*****,품질 좋은 상품 빠르게 배송됨,0,https://phinf.pstatic.net/checkout.phinf/20250707_154/1751880300936slin7_JPEG/1000003647.jpg?type=f300_300,옵션선택: 코튼 베이비파우더 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
32,5,25.07.14.,suk5****,핑크센세이션  아닌 아로마가 배송 됬네요아로마향도 괜찮은지  써보고 또 구매할게요,0,,옵션선택: 릴렉싱 아로마 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
33,5,25.07.15.,tjsr******,역시 믿고 쓰는 샤프란 부모님이 너무 좋아하세요 과하지 않은 깔끔한 향,0,,옵션선택: 코튼 베이비파우더 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
34,3,25.07.02.,0627***,항상쓰는제품가격이갈수록오르네요,0,https://phinf.pstatic.net/checkout.phinf/20250702_203/1751457197849TKShY_JPEG/1751457188150.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
35,5,25.06.29.,shap****,주말인데 배송이 하루만에 왔습니다,0,https://phinf.pstatic.net/checkout.phinf/20250629_284/1751170439189MaTSE_JPEG/1751170427265.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
36,5,25.06.20.,slrm*******,믿고 사용하는 제품입니다. 가성비가 좋아서 계속 구매하게 되네요~,0,https://phinf.pstatic.net/checkout.phinf/20250620_150/1750415925846qX8Sf_JPEG/EC83A4ED9484EB9E80.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
37,5,25.07.12.,dewy***,향기 좋아요~만족합니다,0,,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
38,5,25.06.23.,moya******,항상 사용하던 섬유유연제인데 좀 저렴하게 샀어요!,0,https://phinf.pstatic.net/checkout.phinf/20250623_150/1750674974675SC6YS_JPEG/IMG_6549.jpeg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
39,5,25.06.25.,kkss****,배송빠르고 향이좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250625_33/1750821340826RPdmj_JPEG/1750821327452.jpg?type=f300_300,옵션선택: 코튼 베이비파우더 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
40,5,25.07.16.,youn********,배송도 빠르고 가격도 저렴해서 좋았습니다,0,,옵션선택: 릴렉싱 아로마 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
41,5,25.07.15.,kmj7*****,향기를 돌려 가며 항상 사용중인데 향도 좋고 세탁후 잔향도 오래 남아서 요즘 같이 땀을  많이 흘리는 날씨에 적당한것 같아요. 너무 잘 사용하고 있습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250715_135/1752533209270h4Egn_JPEG/1000020207.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
42,4,25.07.19.,rudt******,샤프란 향기도 좋고 가격도  괜찮은거 같아 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250719_256/1752901321520llJUq_JPEG/1752901311750.jpg?type=f300_300,옵션선택: 릴렉싱 아로마 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
43,5,25.07.16.,saza*******,"향이좋아 항상쓰는제품입니다
마니파세요",0,https://phinf.pstatic.net/checkout.phinf/20250716_234/17526369168231gHsg_JPEG/EC83A4ED9484EB9E80.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
44,5,25.07.19.,dbwl*******,온라인이 더 저렴하니 좋으네요,0,https://phinf.pstatic.net/checkout.phinf/20250719_212/1752913535668zCn1Q_JPEG/1000030855.jpg?type=f300_300,옵션선택: 코튼 베이비파우더 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
45,5,25.07.19.,kiwi******,배송빠르게 잘받았습니다,0,https://phinf.pstatic.net/checkout.phinf/20250719_199/1752910367124VmJV8_JPEG/17529103379882550037276181680523.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
46,5,25.07.17.,woo6****,배송도 빠르고 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250717_112/17527171155473awbe_JPEG/20250716_191634.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
47,5,25.07.16.,dkst******,좋은 상품 빠른 배송,0,https://phinf.pstatic.net/checkout.phinf/20250716_225/17526363075522X96r_JPEG/IMG_9002.jpeg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
48,5,25.07.09.,tkdt******,항상쓰는제품  향이좋아항상씁니다,0,https://phinf.pstatic.net/checkout.phinf/20250709_127/1752032951244FhOHI_JPEG/1000008343.jpg?type=f300_300,옵션선택: 릴렉싱 아로마 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
49,5,25.07.13.,hugo*****,향긋하고 엄마가 좋아시네요,0,https://phinf.pstatic.net/checkout.phinf/20250713_50/17523985438463sfOC_JPEG/1000016693.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
50,5,25.07.08.,sunf*********,"보라,파란색등 다 써봤는데 분홍이 젤 좋아요.",0,https://phinf.pstatic.net/checkout.phinf/20250708_235/1751940845826ueW1L_JPEG/PayApp_20250708_111357_1539410965169687454.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
51,5,25.07.07.,isbl*****,품질 좋은 상품 빠르게 배송됨,0,https://phinf.pstatic.net/checkout.phinf/20250707_154/1751880300936slin7_JPEG/1000003647.jpg?type=f300_300,옵션선택: 코튼 베이비파우더 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
52,5,25.07.14.,suk5****,핑크센세이션  아닌 아로마가 배송 됬네요아로마향도 괜찮은지  써보고 또 구매할게요,0,,옵션선택: 릴렉싱 아로마 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
53,5,25.07.15.,tjsr******,역시 믿고 쓰는 샤프란 부모님이 너무 좋아하세요 과하지 않은 깔끔한 향,0,,옵션선택: 코튼 베이비파우더 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
54,3,25.07.02.,0627***,항상쓰는제품가격이갈수록오르네요,0,https://phinf.pstatic.net/checkout.phinf/20250702_203/1751457197849TKShY_JPEG/1751457188150.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
55,5,25.06.29.,shap****,주말인데 배송이 하루만에 왔습니다,0,https://phinf.pstatic.net/checkout.phinf/20250629_284/1751170439189MaTSE_JPEG/1751170427265.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
56,5,25.06.20.,slrm*******,믿고 사용하는 제품입니다. 가성비가 좋아서 계속 구매하게 되네요~,0,https://phinf.pstatic.net/checkout.phinf/20250620_150/1750415925846qX8Sf_JPEG/EC83A4ED9484EB9E80.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
57,5,25.07.12.,dewy***,향기 좋아요~만족합니다,0,,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
58,5,25.06.23.,moya******,항상 사용하던 섬유유연제인데 좀 저렴하게 샀어요!,0,https://phinf.pstatic.net/checkout.phinf/20250623_150/1750674974675SC6YS_JPEG/IMG_6549.jpeg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
59,5,25.06.25.,kkss****,배송빠르고 향이좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250625_33/1750821340826RPdmj_JPEG/1750821327452.jpg?type=f300_300,옵션선택: 코튼 베이비파우더 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
60,5,25.07.16.,youn********,배송도 빠르고 가격도 저렴해서 좋았습니다,0,,옵션선택: 릴렉싱 아로마 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
61,5,25.07.15.,kmj7*****,향기를 돌려 가며 항상 사용중인데 향도 좋고 세탁후 잔향도 오래 남아서 요즘 같이 땀을  많이 흘리는 날씨에 적당한것 같아요. 너무 잘 사용하고 있습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250715_135/1752533209270h4Egn_JPEG/1000020207.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
62,4,25.07.19.,rudt******,샤프란 향기도 좋고 가격도  괜찮은거 같아 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250719_256/1752901321520llJUq_JPEG/1752901311750.jpg?type=f300_300,옵션선택: 릴렉싱 아로마 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
63,5,25.07.16.,saza*******,"향이좋아 항상쓰는제품입니다
마니파세요",0,https://phinf.pstatic.net/checkout.phinf/20250716_234/17526369168231gHsg_JPEG/EC83A4ED9484EB9E80.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
64,5,25.07.19.,dbwl*******,온라인이 더 저렴하니 좋으네요,0,https://phinf.pstatic.net/checkout.phinf/20250719_212/1752913535668zCn1Q_JPEG/1000030855.jpg?type=f300_300,옵션선택: 코튼 베이비파우더 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
65,5,25.07.19.,kiwi******,배송빠르게 잘받았습니다,0,https://phinf.pstatic.net/checkout.phinf/20250719_199/1752910367124VmJV8_JPEG/17529103379882550037276181680523.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
66,5,25.07.17.,woo6****,배송도 빠르고 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250717_112/17527171155473awbe_JPEG/20250716_191634.jpg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
67,5,25.07.16.,dkst******,좋은 상품 빠른 배송,0,https://phinf.pstatic.net/checkout.phinf/20250716_225/17526363075522X96r_JPEG/IMG_9002.jpeg?type=f300_300,옵션선택: 핑크 센세이션 리필 2.1L 6개,샤프란  핑크센세이션 실내건조 섬유유연제 2.1L 리필 6개
