rank,rating,date,user,content,helpful_count,images,option_info,product_name
131,5,25.06.27.,clar********,항상 사용하는 제품이고 이번에 저렴하게 구매할 수 있어서 더 좋았습니다. 배송에 약간 문제가 있었지만 바로 해결해주셨어요. 감사합니다. 다 쓸 때 쯤 다시 여기서 구매하겠습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250627_245/1751022093584yfv4V_JPEG/IMG_4179.jpeg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
132,5,25.07.14.,jkm5***,스프레이.젤은 변기부터 곳곳에 아주좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250714_87/1752497883472cC8FW_JPEG/1000019808.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
133,5,25.07.14.,kzps*****,"보라색이 올줄 알았는데
연두색이 왔어요
그래도 잘 쓸게요!",0,https://phinf.pstatic.net/checkout.phinf/20250714_164/1752480259136riBhh_JPEG/1752480243296.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
134,5,25.06.28.,wjst********,"가격과 성능으로 비교 대상 없습니다
너무 저렴하기 구입했네요
스프레이 1개가 살짝 열려 있어 손에 뭍긴 했지만 다른 것들은 문제 없어 보입니다
잘 쓰겠습니다",0,https://phinf.pstatic.net/checkout.phinf/20250628_166/1751077833030r72cH_JPEG/20250628_112512.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
135,5,25.07.20.,hr****,일요일에 배송이 오다니 굿굿,0,https://phinf.pstatic.net/checkout.phinf/20250720_171/17530099834035pdDx_JPEG/1000014433.jpg?type=f300_300,옵션: (스프레이)후로랄500ml4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
136,5,25.07.14.,jkm5***,스프레이.젤은 변기부터곳곳에 아주좋아요!!!,0,https://phinf.pstatic.net/checkout.phinf/20250714_202/1752497921706qerRE_JPEG/1000019808.jpg?type=f300_300,옵션: (젤타입)후로랄파인750ml4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
137,5,25.07.09.,hois*******,항상 락스는 이걸로 쓰네요~ 뿌리기도 편하고 너무 강하지 않아서 막 쓰기 좋아요^^,0,https://phinf.pstatic.net/checkout.phinf/20250709_63/1752030457439UbMx1_JPEG/1000023496.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
138,5,25.07.18.,komu*******,조아요오자오요오굿굿,0,https://phinf.pstatic.net/checkout.phinf/20250718_43/1752836172734WeYIu_JPEG/image.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
139,5,25.07.02.,thfw******,보라색보다 초록색이 ㄴ더 상큼함 막힌곳펑펑도 좋음 뚫엇음 가루로 뜨거운물 부어서 거품 올라오는거 써도 못뚫엇는데 이걸로뚫음. 대신 3분의2부음,0,https://phinf.pstatic.net/checkout.phinf/20250702_287/1751460473460ypGmj_JPEG/image.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
140,5,25.07.20.,star****,항상만족하고있숩니다,0,https://phinf.pstatic.net/checkout.phinf/20250720_16/1753018788350mdVBC_JPEG/image.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
141,5,25.07.19.,aml1***,뿌려놓기만 하면 물때 싹 사라져서 몇년째 애용하고 있습니다. 편하고 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250719_70/1752936301607PD0Fp_JPEG/tmp_1672610947430257733.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
142,5,25.07.21.,sky0***,"세정력은 최고인듯요. 
따로 솔질을 안해도 너무 깨끗해요",0,https://phinf.pstatic.net/checkout.phinf/20250721_119/1753061097468PweQD_JPEG/IMG_3668.jpeg?type=f300_300,옵션: (스프레이)후로랄500ml4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
143,5,25.07.17.,gwis***,"늘 초록색만 쓰다가 보라색 궁금해서 샀어요
믿고 쓰는 엘지생건",0,https://phinf.pstatic.net/checkout.phinf/20250717_119/1752714768643tmCiK_JPEG/1000040433.jpg?type=f300_300,옵션: (스프레이)후로랄500ml4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
144,5,25.07.17.,blue********,오염 된 부분에 뿌려놓고 시간이 지난 후 물로만 헹궈도 깨끗해지니 편해서 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250717_196/1752748264204yhAA9_JPEG/1000010184.jpg?type=f300_300,옵션: (스프레이)후레쉬2개+후로랄2개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
145,5,25.07.11.,inve*****,욕실청소할 때 계속 사용하는 제품입니다.사용하기 편하고 깨끗이 잘되요,0,https://phinf.pstatic.net/checkout.phinf/20250711_70/1752208685934ptfNR_JPEG/1000031803.jpg?type=f300_300,옵션: (스프레이)후레쉬2개+후로랄2개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
146,5,25.07.10.,bakh*****,뿌려두고 잠깐 뒀다가 쓱쓱 청소하면 끝 애용하고 있습니다. 후로랄향은 독하지도 않아서 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250710_234/1752123358688qXGpw_JPEG/1000004814.jpg?type=f300_300,옵션: (스프레이)후로랄500ml4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
147,5,25.06.19.,aban*******,"사용하던 제품이 단종돼서 이것저것 써봤는데 만족스럽지 못했습니다 
솔질 없이 청소가 된다는 설명에 혹해서 구매했는데 너무 만족합니다 
세제 도포 수시간 후에 물로만 헹군 상태입니다(검게 보이는 1개의 점은 실리콘 기포입니다)
또 구매할게요",0,https://phinf.pstatic.net/checkout.phinf/20250619_282/175030388975032S5b_JPEG/1000014873.jpg?type=f300_300,옵션: (스프레이)후레쉬 2개 +후로랄2개+락스1L,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
148,5,25.07.21.,sh****,"화장실 청소에 좋습니다
향도 세지않아서 더 좋습니다",0,https://phinf.pstatic.net/checkout.phinf/20250721_131/1753057346072mFJxJ_JPEG/1000005049.jpg?type=f300_300,옵션: (스프레이)후레쉬2개+후로랄2개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
149,5,25.07.17.,audg****,"빠른배송과 안점한 포장상태
잘 사용중입니다",0,https://phinf.pstatic.net/checkout.phinf/20250717_166/1752726551898grJnm_JPEG/17527265438963897865281089684843.jpg?type=f300_300,옵션: (스프레이)후레쉬2개+후로랄2개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
150,4,25.07.16.,park********,배송빠르고 저렴하게 구매했어요,0,https://phinf.pstatic.net/checkout.phinf/20250716_178/17526616097256cUVz_JPEG/1000048979.jpg?type=f300_300,옵션: (스프레이)후레쉬2개+후로랄2개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
151,5,25.06.27.,clar********,항상 사용하는 제품이고 이번에 저렴하게 구매할 수 있어서 더 좋았습니다. 배송에 약간 문제가 있었지만 바로 해결해주셨어요. 감사합니다. 다 쓸 때 쯤 다시 여기서 구매하겠습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250627_245/1751022093584yfv4V_JPEG/IMG_4179.jpeg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
152,5,25.07.14.,jkm5***,스프레이.젤은 변기부터 곳곳에 아주좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250714_87/1752497883472cC8FW_JPEG/1000019808.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
153,5,25.07.14.,kzps*****,"보라색이 올줄 알았는데
연두색이 왔어요
그래도 잘 쓸게요!",0,https://phinf.pstatic.net/checkout.phinf/20250714_164/1752480259136riBhh_JPEG/1752480243296.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
154,5,25.06.28.,wjst********,"가격과 성능으로 비교 대상 없습니다
너무 저렴하기 구입했네요
스프레이 1개가 살짝 열려 있어 손에 뭍긴 했지만 다른 것들은 문제 없어 보입니다
잘 쓰겠습니다",0,https://phinf.pstatic.net/checkout.phinf/20250628_166/1751077833030r72cH_JPEG/20250628_112512.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
155,5,25.07.20.,hr****,일요일에 배송이 오다니 굿굿,0,https://phinf.pstatic.net/checkout.phinf/20250720_171/17530099834035pdDx_JPEG/1000014433.jpg?type=f300_300,옵션: (스프레이)후로랄500ml4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
156,5,25.07.14.,jkm5***,스프레이.젤은 변기부터곳곳에 아주좋아요!!!,0,https://phinf.pstatic.net/checkout.phinf/20250714_202/1752497921706qerRE_JPEG/1000019808.jpg?type=f300_300,옵션: (젤타입)후로랄파인750ml4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
157,5,25.07.09.,hois*******,항상 락스는 이걸로 쓰네요~ 뿌리기도 편하고 너무 강하지 않아서 막 쓰기 좋아요^^,0,https://phinf.pstatic.net/checkout.phinf/20250709_63/1752030457439UbMx1_JPEG/1000023496.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
158,5,25.07.18.,komu*******,조아요오자오요오굿굿,0,https://phinf.pstatic.net/checkout.phinf/20250718_43/1752836172734WeYIu_JPEG/image.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
159,5,25.07.02.,thfw******,보라색보다 초록색이 ㄴ더 상큼함 막힌곳펑펑도 좋음 뚫엇음 가루로 뜨거운물 부어서 거품 올라오는거 써도 못뚫엇는데 이걸로뚫음. 대신 3분의2부음,0,https://phinf.pstatic.net/checkout.phinf/20250702_287/1751460473460ypGmj_JPEG/image.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
160,5,25.07.20.,star****,항상만족하고있숩니다,0,https://phinf.pstatic.net/checkout.phinf/20250720_16/1753018788350mdVBC_JPEG/image.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
161,5,25.07.19.,aml1***,뿌려놓기만 하면 물때 싹 사라져서 몇년째 애용하고 있습니다. 편하고 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250719_70/1752936301607PD0Fp_JPEG/tmp_1672610947430257733.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
162,5,25.07.21.,sky0***,"세정력은 최고인듯요. 
따로 솔질을 안해도 너무 깨끗해요",0,https://phinf.pstatic.net/checkout.phinf/20250721_119/1753061097468PweQD_JPEG/IMG_3668.jpeg?type=f300_300,옵션: (스프레이)후로랄500ml4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
163,5,25.07.17.,gwis***,"늘 초록색만 쓰다가 보라색 궁금해서 샀어요
믿고 쓰는 엘지생건",0,https://phinf.pstatic.net/checkout.phinf/20250717_119/1752714768643tmCiK_JPEG/1000040433.jpg?type=f300_300,옵션: (스프레이)후로랄500ml4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
164,5,25.07.17.,blue********,오염 된 부분에 뿌려놓고 시간이 지난 후 물로만 헹궈도 깨끗해지니 편해서 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250717_196/1752748264204yhAA9_JPEG/1000010184.jpg?type=f300_300,옵션: (스프레이)후레쉬2개+후로랄2개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
165,5,25.07.11.,inve*****,욕실청소할 때 계속 사용하는 제품입니다.사용하기 편하고 깨끗이 잘되요,0,https://phinf.pstatic.net/checkout.phinf/20250711_70/1752208685934ptfNR_JPEG/1000031803.jpg?type=f300_300,옵션: (스프레이)후레쉬2개+후로랄2개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
166,5,25.07.10.,bakh*****,뿌려두고 잠깐 뒀다가 쓱쓱 청소하면 끝 애용하고 있습니다. 후로랄향은 독하지도 않아서 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250710_234/1752123358688qXGpw_JPEG/1000004814.jpg?type=f300_300,옵션: (스프레이)후로랄500ml4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
167,5,25.06.19.,aban*******,"사용하던 제품이 단종돼서 이것저것 써봤는데 만족스럽지 못했습니다 
솔질 없이 청소가 된다는 설명에 혹해서 구매했는데 너무 만족합니다 
세제 도포 수시간 후에 물로만 헹군 상태입니다(검게 보이는 1개의 점은 실리콘 기포입니다)
또 구매할게요",0,https://phinf.pstatic.net/checkout.phinf/20250619_282/175030388975032S5b_JPEG/1000014873.jpg?type=f300_300,옵션: (스프레이)후레쉬 2개 +후로랄2개+락스1L,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
168,5,25.07.21.,sh****,"화장실 청소에 좋습니다
향도 세지않아서 더 좋습니다",0,https://phinf.pstatic.net/checkout.phinf/20250721_131/1753057346072mFJxJ_JPEG/1000005049.jpg?type=f300_300,옵션: (스프레이)후레쉬2개+후로랄2개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
169,5,25.07.17.,audg****,"빠른배송과 안점한 포장상태
잘 사용중입니다",0,https://phinf.pstatic.net/checkout.phinf/20250717_166/1752726551898grJnm_JPEG/17527265438963897865281089684843.jpg?type=f300_300,옵션: (스프레이)후레쉬2개+후로랄2개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
170,4,25.07.16.,park********,배송빠르고 저렴하게 구매했어요,0,https://phinf.pstatic.net/checkout.phinf/20250716_178/17526616097256cUVz_JPEG/1000048979.jpg?type=f300_300,옵션: (스프레이)후레쉬2개+후로랄2개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
171,5,25.06.27.,clar********,항상 사용하는 제품이고 이번에 저렴하게 구매할 수 있어서 더 좋았습니다. 배송에 약간 문제가 있었지만 바로 해결해주셨어요. 감사합니다. 다 쓸 때 쯤 다시 여기서 구매하겠습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250627_245/1751022093584yfv4V_JPEG/IMG_4179.jpeg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
172,5,25.07.14.,jkm5***,스프레이.젤은 변기부터 곳곳에 아주좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250714_87/1752497883472cC8FW_JPEG/1000019808.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
173,5,25.07.14.,kzps*****,"보라색이 올줄 알았는데
연두색이 왔어요
그래도 잘 쓸게요!",0,https://phinf.pstatic.net/checkout.phinf/20250714_164/1752480259136riBhh_JPEG/1752480243296.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
174,5,25.06.28.,wjst********,"가격과 성능으로 비교 대상 없습니다
너무 저렴하기 구입했네요
스프레이 1개가 살짝 열려 있어 손에 뭍긴 했지만 다른 것들은 문제 없어 보입니다
잘 쓰겠습니다",0,https://phinf.pstatic.net/checkout.phinf/20250628_166/1751077833030r72cH_JPEG/20250628_112512.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
175,5,25.07.20.,hr****,일요일에 배송이 오다니 굿굿,0,https://phinf.pstatic.net/checkout.phinf/20250720_171/17530099834035pdDx_JPEG/1000014433.jpg?type=f300_300,옵션: (스프레이)후로랄500ml4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
176,5,25.07.14.,jkm5***,스프레이.젤은 변기부터곳곳에 아주좋아요!!!,0,https://phinf.pstatic.net/checkout.phinf/20250714_202/1752497921706qerRE_JPEG/1000019808.jpg?type=f300_300,옵션: (젤타입)후로랄파인750ml4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
177,5,25.07.09.,hois*******,항상 락스는 이걸로 쓰네요~ 뿌리기도 편하고 너무 강하지 않아서 막 쓰기 좋아요^^,0,https://phinf.pstatic.net/checkout.phinf/20250709_63/1752030457439UbMx1_JPEG/1000023496.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
178,5,25.07.18.,komu*******,조아요오자오요오굿굿,0,https://phinf.pstatic.net/checkout.phinf/20250718_43/1752836172734WeYIu_JPEG/image.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
179,5,25.07.02.,thfw******,보라색보다 초록색이 ㄴ더 상큼함 막힌곳펑펑도 좋음 뚫엇음 가루로 뜨거운물 부어서 거품 올라오는거 써도 못뚫엇는데 이걸로뚫음. 대신 3분의2부음,0,https://phinf.pstatic.net/checkout.phinf/20250702_287/1751460473460ypGmj_JPEG/image.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
180,5,25.07.20.,star****,항상만족하고있숩니다,0,https://phinf.pstatic.net/checkout.phinf/20250720_16/1753018788350mdVBC_JPEG/image.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
181,5,25.07.19.,aml1***,뿌려놓기만 하면 물때 싹 사라져서 몇년째 애용하고 있습니다. 편하고 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250719_70/1752936301607PD0Fp_JPEG/tmp_1672610947430257733.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
182,5,25.07.21.,sky0***,"세정력은 최고인듯요. 
따로 솔질을 안해도 너무 깨끗해요",0,https://phinf.pstatic.net/checkout.phinf/20250721_119/1753061097468PweQD_JPEG/IMG_3668.jpeg?type=f300_300,옵션: (스프레이)후로랄500ml4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
183,5,25.07.17.,gwis***,"늘 초록색만 쓰다가 보라색 궁금해서 샀어요
믿고 쓰는 엘지생건",0,https://phinf.pstatic.net/checkout.phinf/20250717_119/1752714768643tmCiK_JPEG/1000040433.jpg?type=f300_300,옵션: (스프레이)후로랄500ml4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
184,5,25.07.17.,blue********,오염 된 부분에 뿌려놓고 시간이 지난 후 물로만 헹궈도 깨끗해지니 편해서 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250717_196/1752748264204yhAA9_JPEG/1000010184.jpg?type=f300_300,옵션: (스프레이)후레쉬2개+후로랄2개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
185,5,25.07.11.,inve*****,욕실청소할 때 계속 사용하는 제품입니다.사용하기 편하고 깨끗이 잘되요,0,https://phinf.pstatic.net/checkout.phinf/20250711_70/1752208685934ptfNR_JPEG/1000031803.jpg?type=f300_300,옵션: (스프레이)후레쉬2개+후로랄2개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
186,5,25.07.10.,bakh*****,뿌려두고 잠깐 뒀다가 쓱쓱 청소하면 끝 애용하고 있습니다. 후로랄향은 독하지도 않아서 좋아요.,0,https://phinf.pstatic.net/checkout.phinf/20250710_234/1752123358688qXGpw_JPEG/1000004814.jpg?type=f300_300,옵션: (스프레이)후로랄500ml4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
187,5,25.06.19.,aban*******,"사용하던 제품이 단종돼서 이것저것 써봤는데 만족스럽지 못했습니다 
솔질 없이 청소가 된다는 설명에 혹해서 구매했는데 너무 만족합니다 
세제 도포 수시간 후에 물로만 헹군 상태입니다(검게 보이는 1개의 점은 실리콘 기포입니다)
또 구매할게요",0,https://phinf.pstatic.net/checkout.phinf/20250619_282/175030388975032S5b_JPEG/1000014873.jpg?type=f300_300,옵션: (스프레이)후레쉬 2개 +후로랄2개+락스1L,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
188,5,25.07.21.,sh****,"화장실 청소에 좋습니다
향도 세지않아서 더 좋습니다",0,https://phinf.pstatic.net/checkout.phinf/20250721_131/1753057346072mFJxJ_JPEG/1000005049.jpg?type=f300_300,옵션: (스프레이)후레쉬2개+후로랄2개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
189,5,25.07.17.,audg****,"빠른배송과 안점한 포장상태
잘 사용중입니다",0,https://phinf.pstatic.net/checkout.phinf/20250717_166/1752726551898grJnm_JPEG/17527265438963897865281089684843.jpg?type=f300_300,옵션: (스프레이)후레쉬2개+후로랄2개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
190,4,25.07.16.,park********,배송빠르고 저렴하게 구매했어요,0,https://phinf.pstatic.net/checkout.phinf/20250716_178/17526616097256cUVz_JPEG/1000048979.jpg?type=f300_300,옵션: (스프레이)후레쉬2개+후로랄2개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
191,5,25.06.27.,clar********,항상 사용하는 제품이고 이번에 저렴하게 구매할 수 있어서 더 좋았습니다. 배송에 약간 문제가 있었지만 바로 해결해주셨어요. 감사합니다. 다 쓸 때 쯤 다시 여기서 구매하겠습니다.,0,https://phinf.pstatic.net/checkout.phinf/20250627_245/1751022093584yfv4V_JPEG/IMG_4179.jpeg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
192,5,25.07.14.,jkm5***,스프레이.젤은 변기부터 곳곳에 아주좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250714_87/1752497883472cC8FW_JPEG/1000019808.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
193,5,25.07.14.,kzps*****,"보라색이 올줄 알았는데
연두색이 왔어요
그래도 잘 쓸게요!",0,https://phinf.pstatic.net/checkout.phinf/20250714_164/1752480259136riBhh_JPEG/1752480243296.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
194,5,25.06.28.,wjst********,"가격과 성능으로 비교 대상 없습니다
너무 저렴하기 구입했네요
스프레이 1개가 살짝 열려 있어 손에 뭍긴 했지만 다른 것들은 문제 없어 보입니다
잘 쓰겠습니다",0,https://phinf.pstatic.net/checkout.phinf/20250628_166/1751077833030r72cH_JPEG/20250628_112512.jpg?type=f300_300,옵션: (스프레이)후레쉬500ml 4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
195,5,25.07.20.,hr****,일요일에 배송이 오다니 굿굿,0,https://phinf.pstatic.net/checkout.phinf/20250720_171/17530099834035pdDx_JPEG/1000014433.jpg?type=f300_300,옵션: (스프레이)후로랄500ml4개+막힌곳펑펑,홈스타 락스와세제 3X 폼스프레이 500ml(후로랄향) 4개+막힌곳을 부탁해 펑펑
