rank,rating,date,user,content,helpful_count,images,option_info,product_name
138,5,25.07.20.,pakr***,세이프 주방세제 좋아요!,0,https://phinf.pstatic.net/checkout.phinf/20250720_110/1752972707714h8zo3_JPEG/IMG_0415.jpeg?type=f300_300,옵션: 오리지널리필1L3개+오리지널용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
139,5,25.07.12.,ekfa*****,"제가 써 본 주방세제중엔 세이프가 최고인것 같습니다!!
십년 넘게 사용중입니다~^^",0,https://phinf.pstatic.net/checkout.phinf/20250712_159/1752302693093bfRkS_JPEG/1000016914.jpg?type=f300_300,옵션: 오리지널리필1L3개+오리지널용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
140,5,25.07.08.,blue*****,"쟁여두고 늘 쓰는 제품입니다. 
깔끔하게 씻기고 세정력도 좋아서 만족합니다.",0,https://phinf.pstatic.net/checkout.phinf/20250708_170/1751973634682n2XA3_JPEG/image.jpg?type=f300_300,옵션: 오리지널리필1L3개+오리지널용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
141,5,25.07.16.,yang******,"주방세제 돌고돌아 다시 ,Safe~~
부담없이 , 사용할수있어서 좋아요~
빠른배송📦 으로 받았습니다. 
이것저것. 시켜서, 한박스로 받아볼수있어서 
편하고 좋습니다.😁",0,https://phinf.pstatic.net/checkout.phinf/20250716_200/1752647871226Kw73A_JPEG/20250716_140409.jpg?type=f300_300,옵션: 오리지널리필1L3개+오리지널용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
142,5,25.07.20.,pc****,세제는 세이프만 씁니다 좋아요 배송도 일요일에 받아 볼 수 있어서 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250720_289/1752990917015a1cH7_JPEG/image.jpg?type=f300_300,옵션: 오리지널리필1L3개+오리지널용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
143,5,25.06.27.,na****,"주방세제이면서도 야채나 과일을 세척할 수 있을만큼 순하고 안전한 세제이며, 가격도 마트보다 훨씬 싸고 빠르게 배송해 주신 점이 좋았어요. 평소 이용하는 인터넷 쇼핑몰 두 곳과 비교했는데 가격도 더 저렴했어요",0,https://phinf.pstatic.net/checkout.phinf/20250627_147/17509743436114T97J_JPEG/1750974313152.jpg?type=f300_300,옵션: 오리지널리필1L3개+오리지널용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
144,5,25.07.16.,soju****,"주방세제 잘 닦이고 안심되고 
작은 세제통도 덤이라서 좋아요",0,https://phinf.pstatic.net/checkout.phinf/20250716_192/1752652343248844Y8_JPEG/1000058057.jpg?type=f300_300,옵션: 오리지널리필1L3개+오리지널용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
145,4,25.07.19.,goos*****,"거품잘나고 뽀드득 잘닦여요.
항상 사용하는 제품..",0,https://phinf.pstatic.net/checkout.phinf/20250719_113/1752913506584N4uG6_JPEG/1752913488091.jpg?type=f300_300,옵션: 오리지널리필1L3개+오리지널용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
146,5,25.07.20.,rain******,거품양이 다릅니다. 세척력 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250720_249/1753008748634SQo2e_JPEG/PayApp_20250720_195219_3033483098319059004.jpg?type=f300_300,옵션: 오리지널리필1L3개+오리지널용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
147,5,25.06.30.,ekdr******,"항상 이것만 사용중이에요
잘 닦이고 좋아요 😀 
아기가 있어서 이것만 사용하기도 해요
인터넷으로 저렴하게 살수 있어서도 좋아요
파손 없이 잘 도착했어요 👍",0,https://phinf.pstatic.net/checkout.phinf/20250630_172/1751245903055TRVcx_JPEG/tmp_3811761541126845595.jpg?type=f300_300,옵션: 마일드리필1L 3개+마일드용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
148,5,25.07.07.,ohbi***,"한번 써 본 적이 있는 세제인데, 너무 좋아서 구매하게 되었어요!! 이 가격에 3L이상 살 수 있으니까 너무 좋네요",0,https://phinf.pstatic.net/checkout.phinf/20250707_178/1751862159427yPaWW_JPEG/image.jpg?type=f300_300,옵션: 오리지널리필1L3개+오리지널용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
149,5,25.07.15.,tjrc*****,이거 써보고는 이것만 써요 거품 잘나고 세정력 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250715_131/1752527848421ucaXn_JPEG/image.jpg?type=f300_300,옵션: 마일드리필1L 3개+마일드용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
150,5,25.07.14.,leun***,"세이프 주방세제를 알고 나서부턴 다른 세제를 못 씁니다.
세정력이 정말 뛰어나서 너무 만족합니다^^",0,https://phinf.pstatic.net/checkout.phinf/20250714_148/1752449323028HRpXN_JPEG/1000344675.jpg?type=f300_300,옵션: 오리지널리필1L3개+오리지널용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
151,5,25.07.20.,jiny********,오프라인은 파는곳이 잘 없어서 늘 온라인으로 사요,0,https://phinf.pstatic.net/checkout.phinf/20250720_217/1752982788482U05ri_JPEG/1000092347.jpg?type=f300_300,옵션: 오리지널리필1L3개+오리지널용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
152,5,25.06.21.,gusg*****,"리뷰도 보고 지인중에서도 나쁘지않고 괜찮다고하여 구매해서 써봤는데 오! 뭔가 거품도 잘나고 좋아요
다른건 거품도 잘안나고 그 뭐랄까 약품냄새가 좀 많이 강했는데",0,https://phinf.pstatic.net/checkout.phinf/20250621_120/1750492071182SdU7p_JPEG/IMG_5569.jpeg?type=f300_300,옵션: 마일드리필1L 3개+마일드용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
153,4,25.07.11.,pjm1***,좋아요좋아요좋아요좋아요좋아요 좋아요좋아요좋아요좋아요좋아 좋아 좋아,0,https://phinf.pstatic.net/checkout.phinf/20250711_72/1752243815306HgEuE_JPEG/1752243797056.jpg?type=f300_300,옵션: 오리지널리필1L3개+오리지널용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
154,5,25.07.19.,olol***,"계속 쓰고있는 제품
거품 잘남 순해서 습진도 안생김",0,https://phinf.pstatic.net/checkout.phinf/20250719_72/1752919083834LQw9y_JPEG/1000107189.jpg?type=f300_300,옵션: 오리지널리필1L3개+오리지널용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
155,5,25.07.03.,minj*******,늘 사용하는 거라서 순하고 부드러운데 세정력도 좋아요~세탁세제 구매하며 추가로 쟁여두려구요!!,0,https://phinf.pstatic.net/checkout.phinf/20250703_275/17515475510098vO67_JPEG/20250703_214430.jpg?type=f300_300,옵션: 오리지널리필1L3개+오리지널용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
156,5,25.07.15.,cell*****,"안 터지고 잘 왔습니다!!
좋다고해서 한번 사용해보겠습니당ㅎㅎ",0,https://phinf.pstatic.net/checkout.phinf/20250715_154/1752586704140kGIKq_JPEG/image.jpg?type=f300_300,옵션: 마일드리필1L 3개+마일드용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
157,5,25.07.15.,dand********,"주방세제는 세이프만 써요
배송도 빠르고 만족합니다",0,https://phinf.pstatic.net/checkout.phinf/20250715_124/1752536060817nE20j_JPEG/1000008921.jpg?type=f300_300,옵션: 오리지널리필1L3개+오리지널용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
158,5,25.07.20.,pakr***,세이프 주방세제 좋아요!,0,https://phinf.pstatic.net/checkout.phinf/20250720_110/1752972707714h8zo3_JPEG/IMG_0415.jpeg?type=f300_300,옵션: 오리지널리필1L3개+오리지널용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
159,5,25.07.12.,ekfa*****,"제가 써 본 주방세제중엔 세이프가 최고인것 같습니다!!
십년 넘게 사용중입니다~^^",0,https://phinf.pstatic.net/checkout.phinf/20250712_159/1752302693093bfRkS_JPEG/1000016914.jpg?type=f300_300,옵션: 오리지널리필1L3개+오리지널용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
160,5,25.07.08.,blue*****,"쟁여두고 늘 쓰는 제품입니다. 
깔끔하게 씻기고 세정력도 좋아서 만족합니다.",0,https://phinf.pstatic.net/checkout.phinf/20250708_170/1751973634682n2XA3_JPEG/image.jpg?type=f300_300,옵션: 오리지널리필1L3개+오리지널용기385ml,세이프 주방 세제 천연미네랄 오리지널 리필 1L 3개+특별증정(385ml1개)
