rank,rating,date,user,content,helpful_count,images,option_info,product_name
71,5,25.07.03.,mean****,"항상 쓰던거에요 
거품으로 나와서 편하고 스프레이에서 세제가 새지않아서 좋아요!",0,https://phinf.pstatic.net/checkout.phinf/20250703_30/1751540420632bKSUg_JPEG/20250703_182107.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
72,5,25.07.10.,moon***,자주 쓰는 제품이에요 n배송이라 시켜봤네요,0,https://phinf.pstatic.net/checkout.phinf/20250710_225/1752150700356wKTPb_JPEG/IMG_2098.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
73,5,25.07.06.,wjd4***,"배송이 아주 빨라요
저렴한 가격에 잘 구매했어요",0,https://phinf.pstatic.net/checkout.phinf/20250706_276/1751787147392wLXIb_JPEG/IMG_1329.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
74,5,25.07.06.,bi****,빠른배송 착한가격 사용은 간편하고 효과 좋은 제품인듯.,0,https://phinf.pstatic.net/checkout.phinf/20250706_298/1751772413648M6dV0_JPEG/1751772400057.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
75,5,25.07.11.,a4wd***,배송 빠르고 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250711_191/1752230550179mfIJe_JPEG/KakaoTalk_20250711_191315916_01.jpg?type=f300_300,옵션: (스프레이)락스와세제 후로랄2개+후레쉬2개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
76,5,25.06.24.,xing********,"냥이를 키우고 있어서
화장실 청결에 신경 쓰는편입니다.
스프레이로 뿌리고
문닫고
30분후 샤워기로 물 뿌리면 끝.
좋아요.",0,https://phinf.pstatic.net/checkout.phinf/20250624_14/1750770717367KFvc6_JPEG/1000007191.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
77,5,25.07.10.,ki****,잘 받았습니다. 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250710_18/1752131332628xLLUt_JPEG/1000007641.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
78,5,25.07.04.,asiy***,화장실 청소용으로 샀어요 잘 쓸게요,0,https://phinf.pstatic.net/checkout.phinf/20250704_193/1751586544144phyku_JPEG/IMG_0012.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
79,5,25.07.06.,yuns****,배송이 빨라서 넘 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250706_159/17518083598505PlrE_JPEG/1000135115.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
80,5,25.07.03.,pink****,늘 쓰던제품인데 조금씩 새어서 배송 됐어요ㅜㅜ,0,https://phinf.pstatic.net/checkout.phinf/20250703_141/1751524280924xwX1G_JPEG/1000006719.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
81,5,25.07.12.,sish*****,"배송 빠르고 포장도 잘 왔는데
제품의 문제인데 조금 세어나오네요",0,https://phinf.pstatic.net/checkout.phinf/20250712_100/1752283449744XoTvp_JPEG/IMG_0182.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
82,5,25.07.16.,supe*****,"겔형태의 락스와세제를 쓰다가 폼스프레이형이 생기고나서는 이것만 사서 씁니다 ㅎㅎ
머리도 안아프고 세정력도 좋아요!",0,https://phinf.pstatic.net/checkout.phinf/20250716_197/1752671764123xk4yM_JPEG/IMG_3529.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
83,1,25.07.01.,rkdr********,"강세일쿠폰받아서 12,340원에 구입
쿠폰전 가격이 15,000원 정도해서 당연히 큰용량인줄 알았는데~~ 택배받고 너무 가벼워서 확인해보니 
마트에서 구입한건 900ml큰용량이고
이 제품은 다이소에있는 500ml. 3천원짜리네요
Q&A에 다이소 제품이랑 다른점이 뭐냐는 질문이있던데
완전 똑같아요~~ 다이소에서 4개사면 12,000원인데
15,000원에 올려놓고 쿠폰쓰게해서 12,430원?????
다이소제품도 써봤고 같은제품입니다
제대로 속은기분이네요~~~~",0,https://phinf.pstatic.net/checkout.phinf/20250701_65/1751365706793ugYlY_JPEG/1751365693671.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
84,5,25.07.08.,kims*****,배송 빨랐고 깨진데없이 잘 왔어요 락스랑 세제 섞여있어서 청소가 잘되요! 뿌려두고 한시간뒤 물로만 헹궈도 제법 깨끗해요!,0,https://phinf.pstatic.net/checkout.phinf/20250708_270/1751951750225TKMtJ_JPEG/20250707_225510.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
85,5,25.07.14.,podo****,좋아요 세정력도 좋고 청소후 락스향이  청소 잘됐다 이런 느낌을 줌,0,https://phinf.pstatic.net/checkout.phinf/20250714_270/1752492661822oF3P2_JPEG/1000023114.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
86,5,25.07.16.,ctj0***,정기적으로 주문해서 사용하고 있어요 빠른 배송 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250716_72/1752651813521qErMP_JPEG/20240110_111939.jpg?type=f300_300,옵션: (젤타입)락스와세제 후로랄파인 750ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
87,5,25.07.11.,lsm3***,회사 화장실 청소용으로 구매했습니다. 배송이 빨라서 좋으네요,0,https://phinf.pstatic.net/checkout.phinf/20250711_232/1752205035293jwxPT_JPEG/image.jpg?type=f300_300,옵션: (스프레이)락스와세제 후로랄2개+후레쉬2개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
88,5,25.07.20.,dlgk************,뿌리기만해도 깨끗 해서 청소하기좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250720_78/1752977129101FK045_JPEG/tmp_8977154684205067287.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
89,5,25.07.20.,jpil***,빠른배송 잘받았습니다,0,https://phinf.pstatic.net/checkout.phinf/20250720_288/1753005187190rY7B3_JPEG/1000014819.jpg?type=f300_300,옵션: (스프레이)락스와세제 후로랄 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
90,5,25.07.11.,shap*****,화장실 청소할 때 뿌려놓고 20분 정도 후에 물 뿌려주면 솔질 안해도 더러운게 싹 씻겨나가요,0,https://phinf.pstatic.net/checkout.phinf/20250711_53/1752238782108T28XR_JPEG/image.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
91,5,25.07.03.,mean****,"항상 쓰던거에요 
거품으로 나와서 편하고 스프레이에서 세제가 새지않아서 좋아요!",0,https://phinf.pstatic.net/checkout.phinf/20250703_30/1751540420632bKSUg_JPEG/20250703_182107.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
92,5,25.07.10.,moon***,자주 쓰는 제품이에요 n배송이라 시켜봤네요,0,https://phinf.pstatic.net/checkout.phinf/20250710_225/1752150700356wKTPb_JPEG/IMG_2098.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
93,5,25.07.06.,wjd4***,"배송이 아주 빨라요
저렴한 가격에 잘 구매했어요",0,https://phinf.pstatic.net/checkout.phinf/20250706_276/1751787147392wLXIb_JPEG/IMG_1329.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
94,5,25.07.06.,bi****,빠른배송 착한가격 사용은 간편하고 효과 좋은 제품인듯.,0,https://phinf.pstatic.net/checkout.phinf/20250706_298/1751772413648M6dV0_JPEG/1751772400057.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
95,5,25.07.11.,a4wd***,배송 빠르고 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250711_191/1752230550179mfIJe_JPEG/KakaoTalk_20250711_191315916_01.jpg?type=f300_300,옵션: (스프레이)락스와세제 후로랄2개+후레쉬2개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
96,5,25.06.24.,xing********,"냥이를 키우고 있어서
화장실 청결에 신경 쓰는편입니다.
스프레이로 뿌리고
문닫고
30분후 샤워기로 물 뿌리면 끝.
좋아요.",0,https://phinf.pstatic.net/checkout.phinf/20250624_14/1750770717367KFvc6_JPEG/1000007191.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
97,5,25.07.10.,ki****,잘 받았습니다. 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250710_18/1752131332628xLLUt_JPEG/1000007641.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
98,5,25.07.04.,asiy***,화장실 청소용으로 샀어요 잘 쓸게요,0,https://phinf.pstatic.net/checkout.phinf/20250704_193/1751586544144phyku_JPEG/IMG_0012.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
99,5,25.07.06.,yuns****,배송이 빨라서 넘 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250706_159/17518083598505PlrE_JPEG/1000135115.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
100,5,25.07.03.,pink****,늘 쓰던제품인데 조금씩 새어서 배송 됐어요ㅜㅜ,0,https://phinf.pstatic.net/checkout.phinf/20250703_141/1751524280924xwX1G_JPEG/1000006719.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
101,5,25.07.12.,sish*****,"배송 빠르고 포장도 잘 왔는데
제품의 문제인데 조금 세어나오네요",0,https://phinf.pstatic.net/checkout.phinf/20250712_100/1752283449744XoTvp_JPEG/IMG_0182.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
102,5,25.07.16.,supe*****,"겔형태의 락스와세제를 쓰다가 폼스프레이형이 생기고나서는 이것만 사서 씁니다 ㅎㅎ
머리도 안아프고 세정력도 좋아요!",0,https://phinf.pstatic.net/checkout.phinf/20250716_197/1752671764123xk4yM_JPEG/IMG_3529.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
103,1,25.07.01.,rkdr********,"강세일쿠폰받아서 12,340원에 구입
쿠폰전 가격이 15,000원 정도해서 당연히 큰용량인줄 알았는데~~ 택배받고 너무 가벼워서 확인해보니 
마트에서 구입한건 900ml큰용량이고
이 제품은 다이소에있는 500ml. 3천원짜리네요
Q&A에 다이소 제품이랑 다른점이 뭐냐는 질문이있던데
완전 똑같아요~~ 다이소에서 4개사면 12,000원인데
15,000원에 올려놓고 쿠폰쓰게해서 12,430원?????
다이소제품도 써봤고 같은제품입니다
제대로 속은기분이네요~~~~",0,https://phinf.pstatic.net/checkout.phinf/20250701_65/1751365706793ugYlY_JPEG/1751365693671.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
104,5,25.07.08.,kims*****,배송 빨랐고 깨진데없이 잘 왔어요 락스랑 세제 섞여있어서 청소가 잘되요! 뿌려두고 한시간뒤 물로만 헹궈도 제법 깨끗해요!,0,https://phinf.pstatic.net/checkout.phinf/20250708_270/1751951750225TKMtJ_JPEG/20250707_225510.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
105,5,25.07.14.,podo****,좋아요 세정력도 좋고 청소후 락스향이  청소 잘됐다 이런 느낌을 줌,0,https://phinf.pstatic.net/checkout.phinf/20250714_270/1752492661822oF3P2_JPEG/1000023114.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
106,5,25.07.16.,ctj0***,정기적으로 주문해서 사용하고 있어요 빠른 배송 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250716_72/1752651813521qErMP_JPEG/20240110_111939.jpg?type=f300_300,옵션: (젤타입)락스와세제 후로랄파인 750ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
107,5,25.07.11.,lsm3***,회사 화장실 청소용으로 구매했습니다. 배송이 빨라서 좋으네요,0,https://phinf.pstatic.net/checkout.phinf/20250711_232/1752205035293jwxPT_JPEG/image.jpg?type=f300_300,옵션: (스프레이)락스와세제 후로랄2개+후레쉬2개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
108,5,25.07.20.,dlgk************,뿌리기만해도 깨끗 해서 청소하기좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250720_78/1752977129101FK045_JPEG/tmp_8977154684205067287.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
109,5,25.07.20.,jpil***,빠른배송 잘받았습니다,0,https://phinf.pstatic.net/checkout.phinf/20250720_288/1753005187190rY7B3_JPEG/1000014819.jpg?type=f300_300,옵션: (스프레이)락스와세제 후로랄 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
110,5,25.07.11.,shap*****,화장실 청소할 때 뿌려놓고 20분 정도 후에 물 뿌려주면 솔질 안해도 더러운게 싹 씻겨나가요,0,https://phinf.pstatic.net/checkout.phinf/20250711_53/1752238782108T28XR_JPEG/image.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
111,5,25.07.03.,mean****,"항상 쓰던거에요 
거품으로 나와서 편하고 스프레이에서 세제가 새지않아서 좋아요!",0,https://phinf.pstatic.net/checkout.phinf/20250703_30/1751540420632bKSUg_JPEG/20250703_182107.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
112,5,25.07.10.,moon***,자주 쓰는 제품이에요 n배송이라 시켜봤네요,0,https://phinf.pstatic.net/checkout.phinf/20250710_225/1752150700356wKTPb_JPEG/IMG_2098.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
113,5,25.07.06.,wjd4***,"배송이 아주 빨라요
저렴한 가격에 잘 구매했어요",0,https://phinf.pstatic.net/checkout.phinf/20250706_276/1751787147392wLXIb_JPEG/IMG_1329.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
114,5,25.07.06.,bi****,빠른배송 착한가격 사용은 간편하고 효과 좋은 제품인듯.,0,https://phinf.pstatic.net/checkout.phinf/20250706_298/1751772413648M6dV0_JPEG/1751772400057.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
115,5,25.07.11.,a4wd***,배송 빠르고 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250711_191/1752230550179mfIJe_JPEG/KakaoTalk_20250711_191315916_01.jpg?type=f300_300,옵션: (스프레이)락스와세제 후로랄2개+후레쉬2개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
116,5,25.06.24.,xing********,"냥이를 키우고 있어서
화장실 청결에 신경 쓰는편입니다.
스프레이로 뿌리고
문닫고
30분후 샤워기로 물 뿌리면 끝.
좋아요.",0,https://phinf.pstatic.net/checkout.phinf/20250624_14/1750770717367KFvc6_JPEG/1000007191.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
117,5,25.07.10.,ki****,잘 받았습니다. 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250710_18/1752131332628xLLUt_JPEG/1000007641.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
118,5,25.07.04.,asiy***,화장실 청소용으로 샀어요 잘 쓸게요,0,https://phinf.pstatic.net/checkout.phinf/20250704_193/1751586544144phyku_JPEG/IMG_0012.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
119,5,25.07.06.,yuns****,배송이 빨라서 넘 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250706_159/17518083598505PlrE_JPEG/1000135115.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
120,5,25.07.03.,pink****,늘 쓰던제품인데 조금씩 새어서 배송 됐어요ㅜㅜ,0,https://phinf.pstatic.net/checkout.phinf/20250703_141/1751524280924xwX1G_JPEG/1000006719.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
121,5,25.07.12.,sish*****,"배송 빠르고 포장도 잘 왔는데
제품의 문제인데 조금 세어나오네요",0,https://phinf.pstatic.net/checkout.phinf/20250712_100/1752283449744XoTvp_JPEG/IMG_0182.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
122,5,25.07.16.,supe*****,"겔형태의 락스와세제를 쓰다가 폼스프레이형이 생기고나서는 이것만 사서 씁니다 ㅎㅎ
머리도 안아프고 세정력도 좋아요!",0,https://phinf.pstatic.net/checkout.phinf/20250716_197/1752671764123xk4yM_JPEG/IMG_3529.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
123,1,25.07.01.,rkdr********,"강세일쿠폰받아서 12,340원에 구입
쿠폰전 가격이 15,000원 정도해서 당연히 큰용량인줄 알았는데~~ 택배받고 너무 가벼워서 확인해보니 
마트에서 구입한건 900ml큰용량이고
이 제품은 다이소에있는 500ml. 3천원짜리네요
Q&A에 다이소 제품이랑 다른점이 뭐냐는 질문이있던데
완전 똑같아요~~ 다이소에서 4개사면 12,000원인데
15,000원에 올려놓고 쿠폰쓰게해서 12,430원?????
다이소제품도 써봤고 같은제품입니다
제대로 속은기분이네요~~~~",0,https://phinf.pstatic.net/checkout.phinf/20250701_65/1751365706793ugYlY_JPEG/1751365693671.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
124,5,25.07.08.,kims*****,배송 빨랐고 깨진데없이 잘 왔어요 락스랑 세제 섞여있어서 청소가 잘되요! 뿌려두고 한시간뒤 물로만 헹궈도 제법 깨끗해요!,0,https://phinf.pstatic.net/checkout.phinf/20250708_270/1751951750225TKMtJ_JPEG/20250707_225510.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
125,5,25.07.14.,podo****,좋아요 세정력도 좋고 청소후 락스향이  청소 잘됐다 이런 느낌을 줌,0,https://phinf.pstatic.net/checkout.phinf/20250714_270/1752492661822oF3P2_JPEG/1000023114.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
126,5,25.07.16.,ctj0***,정기적으로 주문해서 사용하고 있어요 빠른 배송 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250716_72/1752651813521qErMP_JPEG/20240110_111939.jpg?type=f300_300,옵션: (젤타입)락스와세제 후로랄파인 750ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
127,5,25.07.11.,lsm3***,회사 화장실 청소용으로 구매했습니다. 배송이 빨라서 좋으네요,0,https://phinf.pstatic.net/checkout.phinf/20250711_232/1752205035293jwxPT_JPEG/image.jpg?type=f300_300,옵션: (스프레이)락스와세제 후로랄2개+후레쉬2개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
128,5,25.07.20.,dlgk************,뿌리기만해도 깨끗 해서 청소하기좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250720_78/1752977129101FK045_JPEG/tmp_8977154684205067287.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
129,5,25.07.20.,jpil***,빠른배송 잘받았습니다,0,https://phinf.pstatic.net/checkout.phinf/20250720_288/1753005187190rY7B3_JPEG/1000014819.jpg?type=f300_300,옵션: (스프레이)락스와세제 후로랄 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
130,5,25.07.11.,shap*****,화장실 청소할 때 뿌려놓고 20분 정도 후에 물 뿌려주면 솔질 안해도 더러운게 싹 씻겨나가요,0,https://phinf.pstatic.net/checkout.phinf/20250711_53/1752238782108T28XR_JPEG/image.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
131,5,25.07.03.,mean****,"항상 쓰던거에요 
거품으로 나와서 편하고 스프레이에서 세제가 새지않아서 좋아요!",0,https://phinf.pstatic.net/checkout.phinf/20250703_30/1751540420632bKSUg_JPEG/20250703_182107.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
132,5,25.07.10.,moon***,자주 쓰는 제품이에요 n배송이라 시켜봤네요,0,https://phinf.pstatic.net/checkout.phinf/20250710_225/1752150700356wKTPb_JPEG/IMG_2098.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
133,5,25.07.06.,wjd4***,"배송이 아주 빨라요
저렴한 가격에 잘 구매했어요",0,https://phinf.pstatic.net/checkout.phinf/20250706_276/1751787147392wLXIb_JPEG/IMG_1329.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
134,5,25.07.06.,bi****,빠른배송 착한가격 사용은 간편하고 효과 좋은 제품인듯.,0,https://phinf.pstatic.net/checkout.phinf/20250706_298/1751772413648M6dV0_JPEG/1751772400057.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
135,5,25.07.11.,a4wd***,배송 빠르고 좋습니다,0,https://phinf.pstatic.net/checkout.phinf/20250711_191/1752230550179mfIJe_JPEG/KakaoTalk_20250711_191315916_01.jpg?type=f300_300,옵션: (스프레이)락스와세제 후로랄2개+후레쉬2개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
136,5,25.06.24.,xing********,"냥이를 키우고 있어서
화장실 청결에 신경 쓰는편입니다.
스프레이로 뿌리고
문닫고
30분후 샤워기로 물 뿌리면 끝.
좋아요.",0,https://phinf.pstatic.net/checkout.phinf/20250624_14/1750770717367KFvc6_JPEG/1000007191.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
137,5,25.07.10.,ki****,잘 받았습니다. 감사합니다,0,https://phinf.pstatic.net/checkout.phinf/20250710_18/1752131332628xLLUt_JPEG/1000007641.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
138,5,25.07.04.,asiy***,화장실 청소용으로 샀어요 잘 쓸게요,0,https://phinf.pstatic.net/checkout.phinf/20250704_193/1751586544144phyku_JPEG/IMG_0012.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
139,5,25.07.06.,yuns****,배송이 빨라서 넘 좋아요,0,https://phinf.pstatic.net/checkout.phinf/20250706_159/17518083598505PlrE_JPEG/1000135115.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
140,5,25.07.03.,pink****,늘 쓰던제품인데 조금씩 새어서 배송 됐어요ㅜㅜ,0,https://phinf.pstatic.net/checkout.phinf/20250703_141/1751524280924xwX1G_JPEG/1000006719.jpg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
141,5,25.07.12.,sish*****,"배송 빠르고 포장도 잘 왔는데
제품의 문제인데 조금 세어나오네요",0,https://phinf.pstatic.net/checkout.phinf/20250712_100/1752283449744XoTvp_JPEG/IMG_0182.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
142,5,25.07.16.,supe*****,"겔형태의 락스와세제를 쓰다가 폼스프레이형이 생기고나서는 이것만 사서 씁니다 ㅎㅎ
머리도 안아프고 세정력도 좋아요!",0,https://phinf.pstatic.net/checkout.phinf/20250716_197/1752671764123xk4yM_JPEG/IMG_3529.jpeg?type=f300_300,옵션: (스프레이)락스와세제 후레쉬 500ml 4개,홈스타 락스와세제 3X 폼스프레이 500ml(후레쉬향) 4개
